k_min_1,a_t,euler_AIO,euler_linear
0.99236554,1.0,0.001977682,0.0043689013
0.994532,1.0,0.0019325614,0.004301071
0.9966985,1.0,0.0018877983,0.0042341948
0.99886495,1.0,0.0018437505,0.004167974
1.0010314,1.0,0.0018001795,0.0041024685
1.0031979,1.0,0.0017569065,0.00403744
1.0053644,1.0,0.001714766,0.003973007
1.0075308,1.0,0.0016729236,0.0039096475
1.0096973,1.0,0.0016315579,0.003846705
1.0118638,1.0,0.00159055,0.0037843585
1.0140302,1.0,0.0015505552,0.0037227273
1.0161967,1.0,0.001511097,0.0036617517
1.0183632,1.0,0.0014716387,0.0036014318
1.0205296,1.0,0.0014331937,0.0035416484
1.0226961,1.0,0.0013948083,0.0034825802
1.0248626,1.0,0.0013572574,0.0034242272
1.027029,1.0,0.0013203025,0.0033662915
1.0291955,1.0,0.0012836456,0.0033091307
1.031362,1.0,0.0012477636,0.0032525063
1.0335286,1.0,0.0012124181,0.0031967163
1.035695,1.0,0.0011772513,0.003141284
1.0378615,1.0,0.0011429787,0.003086567
1.040028,1.0,0.0011089444,0.0030323863
1.0421944,1.0,0.0010755658,0.0029787421
1.0443609,1.0,0.0010428429,0.002925992
1.0465274,1.0,0.0010103583,0.0028735995
1.0486938,1.0,0.0009783506,0.002821803
1.0508603,1.0,0.0009468198,0.002770722
1.0530268,1.0,0.000915885,0.0027199984
1.0551932,1.0,0.0008856654,0.0026700497
1.0573597,1.0,0.0008555651,0.002620697
1.0595262,1.0,0.0008260608,0.0025718808
1.0616927,1.0,0.0007969737,0.0025234818
1.0638591,1.0,0.0007684231,0.0024757981
1.0660256,1.0,0.0007404685,0.0024287105
1.0681921,1.0,0.00071269274,0.0023820996
1.0703585,1.0,0.00068581104,0.002335906
1.072525,1.0,0.000659287,0.0022904873
1.0746915,1.0,0.0006329417,0.002245605
1.0768579,1.0,0.0006072521,0.00220114
1.0790244,1.0,0.00058197975,0.0021573305
1.081191,1.0,0.0005571246,0.002113998
1.0833573,1.0,0.0005325675,0.0020711422
1.0855238,1.0,0.00050878525,0.0020288825
1.0876904,1.0,0.00048530102,0.0019872189
1.0898567,1.0,0.0004620552,0.0019459724
1.0920233,1.0,0.00043946505,0.0019052625
1.0941898,1.0,0.00041741133,0.0018651485
1.0963562,1.0,0.0003952384,0.0018254519
1.0985227,1.0,0.00037407875,0.0017864704
1.1006892,1.0,0.00035321712,0.001747787
1.1028557,1.0,0.0003324747,0.00170964
1.1050221,1.0,0.00031232834,0.0016719699
1.1071886,1.0,0.0002925992,0.0016348958
1.1093551,1.0,0.0002732873,0.0015981793
1.1115215,1.0,0.00025445223,0.0015622973
1.113688,1.0,0.00023573637,0.0015266538
1.1158545,1.0,0.00021773577,0.0014912486
1.1180209,1.0,0.00019997358,0.0014568567
1.1201874,1.0,0.00018268824,0.0014226437
1.1223539,1.0,0.00016582012,0.0013889074
1.1245203,1.0,0.00014913082,0.0013557076
1.1266868,1.0,0.00013303757,0.0013230443
1.1288533,1.0,0.00011718273,0.001290679
1.1310198,1.0,0.000101447105,0.0012589097
1.1331862,1.0,8.6545944e-05,0.0012275577
1.1353527,1.0,7.18832e-05,0.001196742
1.1375192,1.0,5.733967e-05,0.0011662841
1.1396856,1.0,4.339218e-05,0.0011364222
1.1418521,1.0,2.9563904e-05,0.0011069179
1.1440187,1.0,1.6331673e-05,0.0010778904
1.146185,1.0,3.2186508e-06,0.0010492802
1.1483516,1.0,9.417534e-06,0.0010210276
1.1505181,1.0,2.169609e-05,0.0009934306
1.1526845,1.0,3.361702e-05,0.0009661913
1.154851,1.0,4.529953e-05,0.0009394288
1.1570175,1.0,5.6624413e-05,0.00091326237
1.1591839,1.0,6.771088e-05,0.0008870959
1.1613504,1.0,7.83205e-05,0.00086164474
1.1635169,1.0,8.85725e-05,0.0008366108
1.1656833,1.0,9.858608e-05,0.00081187487
1.1678498,1.0,0.00010859966,0.0007878542
1.1700163,1.0,0.0001180172,0.0007637739
1.1721828,1.0,0.00012719631,0.0007404685
1.1743492,1.0,0.00013589859,0.0007175803
1.1765157,1.0,0.00014448166,0.00069499016
1.1786822,1.0,0.0001527071,0.00067281723
1.1808486,1.0,0.00016081333,0.00065129995
1.1830151,1.0,0.00016832352,0.0006298423
1.1851816,1.0,0.0001758337,0.00060892105
1.187348,1.0,0.00018286705,0.00058853626
1.1895145,1.0,0.00018978119,0.0005684495
1.191681,1.0,0.00019645691,0.00054877996
1.1938474,1.0,0.000202775,0.00052934885
1.1960139,1.0,0.0002092123,0.0005104542
1.1981804,1.0,0.00021445751,0.00049197674
1.200347,1.0,0.00022041798,0.00047373772
1.2025133,1.0,0.00022542477,0.00045603514
1.2046798,1.0,0.00023055077,0.00043863058
1.2068464,1.0,0.00023543835,0.00042158365
1.2090127,1.0,0.00023984909,0.00040513277
1.2111793,1.0,0.00024402142,0.0003888011
1.2133458,1.0,0.00024855137,0.00037300587
1.2155122,1.0,0.00025236607,0.00035762787
1.2176787,1.0,0.00025594234,0.0003424883
1.2198452,1.0,0.0002592802,0.00032782555
1.2220116,1.0,0.00026249886,0.00031340122
1.2241781,1.0,0.0002655983,0.00029945374
1.2263446,1.0,0.0002683401,0.00028592348
1.228511,1.0,0.00027096272,0.00027245283
1.2306775,1.0,0.0002733469,0.00025969744
1.232844,1.0,0.00027549267,0.00024718046
1.2350104,1.0,0.0002772808,0.0002349019
1.2371769,1.0,0.00027942657,0.00022298098
1.2393434,1.0,0.00028073788,0.00021153688
1.2415099,1.0,0.00028204918,0.00020033121
1.2436763,1.0,0.00028300285,0.00018972158
1.2458428,1.0,0.00028431416,0.00017923117
1.2480093,1.0,0.0002850294,0.00016927719
1.2501757,1.0,0.00028562546,0.00015950203
