k_min_1,a_t,euler_AIO,euler_linear,rep,std,P10,P25,P50,P75,P90
0.99236554,1.0,0.0021016598,0.0043689013,4.5,0.00029771082717405865,0.001765221357345581,0.0019790083169937134,0.002102077007293701,0.0021819323301315308,0.002251249551773071
0.994532,1.0,0.0020569086,0.004301071,4.5,0.0002972791333994128,0.0017214596271514892,0.0019344240427017212,0.0020570755004882812,0.0021369904279708862,0.0022071897983551025
0.9966985,1.0,0.0020126998,0.0042341948,4.5,0.00029692707635997504,0.0016778409481048584,0.0018904954195022583,0.0020124316215515137,0.0020927637815475464,0.0021636962890624997
0.99886495,1.0,0.0019690513,0.004167974,4.5,0.0002965992496225073,0.0016349494457244874,0.0018468797206878662,0.001968592405319214,0.0020489543676376343,0.002120476961135864
1.0010314,1.0,0.0019260228,0.0041024685,4.5,0.00029616380496670343,0.0015927255153656006,0.0018038153648376465,0.0019253194332122803,0.0020059198141098022,0.0020782470703125
1.0031979,1.0,0.0018833696,0.00403744,4.5,0.0002958306736066316,0.0015507400035858153,0.001761406660079956,0.001882404088973999,0.0019632428884506226,0.002036142349243164
1.0053644,1.0,0.0018414498,0.003973007,4.5,0.00029549969033727965,0.0015097081661224366,0.0017193853855133057,0.0018400251865386963,0.0019213110208511353,0.001995033025741577
1.0075308,1.0,0.0018001497,0.0039096475,4.5,0.00029510507996657995,0.0014691412448883056,0.0016782879829406738,0.0017985999584197998,0.0018798410892486572,0.0019543826580047607
1.0096973,1.0,0.0017593264,0.003846705,4.5,0.0002947775682963707,0.0014291703701019287,0.0016374439001083374,0.0017573833465576172,0.0018389970064163208,0.0019141852855682371
1.0118638,1.0,0.0017189563,0.0037843585,4.5,0.00029441208935825,0.001389545202255249,0.001597285270690918,0.0017167627811431885,0.0017985403537750244,0.0018745958805084226
1.0140302,1.0,0.0016793311,0.0037227273,4.5,0.00029400171909843586,0.0013508975505828857,0.0015576481819152832,0.001676797866821289,0.001758769154548645,0.0018356859683990477
1.0161967,1.0,0.0016400755,0.0036617517,4.5,0.0002936201278747195,0.001312386989593506,0.0015184879302978516,0.001637101173400879,0.0017195791006088257,0.0017970204353332517
1.0183632,1.0,0.0016013623,0.0036014318,4.5,0.00029318494472865646,0.0012744009494781495,0.001479804515838623,0.0015984177589416504,0.0016806721687316895,0.0017588198184967038
1.0205296,1.0,0.0015633821,0.0035416484,4.5,0.0002928878734664741,0.0012373685836791991,0.0014419704675674438,0.0015599727630615234,0.0016427040100097656,0.0017217457294464108
1.0226961,1.0,0.001525718,0.0034825802,4.5,0.00029245513507324014,0.0012005329132080077,0.001404300332069397,0.001522064208984375,0.001604914665222168,0.0016846299171447753
1.0248626,1.0,0.0014887511,0.0034242272,4.5,0.00029198086309684026,0.0011645674705505372,0.0013674050569534302,0.001484692096710205,0.0015679001808166504,0.001648426055908203
1.027029,1.0,0.0014522076,0.0033662915,4.5,0.00029162992249579856,0.001128816604614258,0.0013310611248016357,0.001447916030883789,0.0015312135219573975,0.0016125559806823729
1.0291955,1.0,0.0014163435,0.0033091307,4.5,0.0002912349293021268,0.0010940670967102052,0.0012952238321304321,0.0014115869998931885,0.0014951825141906738,0.001577562093734741
