k_min_1,a_t,euler_AIO,euler_linear,rep
0.99236554,1.0,0.0020074844,0.0043689013,5.0
0.994532,1.0,0.0019623637,0.004301071,5.0
0.9966985,1.0,0.0019177198,0.0042341948,5.0
0.99886495,1.0,0.0018737912,0.004167974,5.0
1.0010314,1.0,0.0018304586,0.0041024685,5.0
1.0031979,1.0,0.0017874241,0.00403744,5.0
1.0053644,1.0,0.0017450452,0.003973007,5.0
1.0075308,1.0,0.0017033219,0.0039096475,5.0
1.0096973,1.0,0.0016622543,0.003846705,5.0
1.0118638,1.0,0.001621604,0.0037843585,5.0
1.0140302,1.0,0.0015814304,0.0037227273,5.0
1.0161967,1.0,0.0015417337,0.0036617517,5.0
1.0183632,1.0,0.0015028715,0.0036014318,5.0
1.0205296,1.0,0.0014643669,0.0035416484,5.0
1.0226961,1.0,0.0014263391,0.0034825802,5.0
1.0248626,1.0,0.0013889074,0.0034242272,5.0
1.027029,1.0,0.001351893,0.0033662915,5.0
1.0291955,1.0,0.0013156533,0.0033091307,5.0
1.031362,1.0,0.0012798309,0.0032525063,5.0
1.0335286,1.0,0.0012443066,0.0031967163,5.0
1.035695,1.0,0.001209557,0.003141284,5.0
1.0378615,1.0,0.001175344,0.003086567,5.0
1.040028,1.0,0.0011415482,0.0030323863,5.0
1.0421944,1.0,0.0011083484,0.0029787421,5.0
1.0443609,1.0,0.0010755658,0.002925992,5.0
1.0465274,1.0,0.0010432005,0.0028735995,5.0
1.0486938,1.0,0.0010114312,0.002821803,5.0
1.0508603,1.0,0.000980258,0.002770722,5.0
1.0530268,1.0,0.0009493232,0.0027199984,5.0
1.0551932,1.0,0.00091934204,0.0026700497,5.0
1.0573597,1.0,0.0008893609,0.002620697,5.0
1.0595262,1.0,0.00086021423,0.0025718808,5.0
1.0616927,1.0,0.0008312464,0.0025234818,5.0
1.0638591,1.0,0.00080269575,0.0024757981,5.0
1.0660256,1.0,0.0007748604,0.0024287105,5.0
1.0681921,1.0,0.00074726343,0.0023820996,5.0
1.0703585,1.0,0.00072044134,0.002335906,5.0
1.072525,1.0,0.0006939173,0.0022904873,5.0
1.0746915,1.0,0.00066810846,0.002245605,5.0
1.0768579,1.0,0.00064247847,0.00220114,5.0
1.0790244,1.0,0.0006175041,0.0021573305,5.0
1.081191,1.0,0.0005925894,0.002113998,5.0
1.0833573,1.0,0.0005683303,0.0020711422,5.0
1.0855238,1.0,0.00054448843,0.0020288825,5.0
