k,ct_AIO,ct_linear,nt_AIO,nt_linear,k_ss,k_ss_low_ci,k_ss_high_ci
0.99236554,0.33430547,0.33612722,0.32304358,0.32235125,1.31625315641241,1.154309353333907,1.478196959490913
0.9989087,0.3353686,0.3371417,0.32273132,0.32203162,1.31625315641241,1.154309353333907,1.478196959490913
1.0054519,0.33643112,0.3381562,0.32241786,0.321712,1.31625315641241,1.154309353333907,1.478196959490913
1.0119951,0.3374928,0.3391707,0.3221032,0.32139236,1.31625315641241,1.154309353333907,1.478196959490913
1.0185382,0.3385539,0.34018517,0.32178742,0.32107276,1.31625315641241,1.154309353333907,1.478196959490913
1.0250815,0.33961433,0.3411997,0.32147047,0.3207531,1.31625315641241,1.154309353333907,1.478196959490913
1.0316247,0.34067398,0.34221417,0.32115242,0.3204335,1.31625315641241,1.154309353333907,1.478196959490913
1.0381678,0.34173307,0.34322867,0.32083338,0.32011387,1.31625315641241,1.154309353333907,1.478196959490913
1.044711,0.34279147,0.34424317,0.32051334,0.31979424,1.31625315641241,1.154309353333907,1.478196959490913
1.0512542,0.34384918,0.34525764,0.32019228,0.3194746,1.31625315641241,1.154309353333907,1.478196959490913
1.0577974,0.3449062,0.34627217,0.31987026,0.31915498,1.31625315641241,1.154309353333907,1.478196959490913
1.0643406,0.34596264,0.34728664,0.31954738,0.31883535,1.31625315641241,1.154309353333907,1.478196959490913
1.0708838,0.34701836,0.34830114,0.31922364,0.31851572,1.31625315641241,1.154309353333907,1.478196959490913
1.0774269,0.34807342,0.34931564,0.31889904,0.3181961,1.31625315641241,1.154309353333907,1.478196959490913
1.0839701,0.3491279,0.3503301,0.31857368,0.31787646,1.31625315641241,1.154309353333907,1.478196959490913
1.0905133,0.35018167,0.35134465,0.31824756,0.31755683,1.31625315641241,1.154309353333907,1.478196959490913
1.0970565,0.3512347,0.35235912,0.31792074,0.3172372,1.31625315641241,1.154309353333907,1.478196959490913
1.1035997,0.3522871,0.35337362,0.31759328,0.31691757,1.31625315641241,1.154309353333907,1.478196959490913
1.1101428,0.35333875,0.3543881,0.3172652,0.31659794,1.31625315641241,1.154309353333907,1.478196959490913
1.116686,0.3543898,0.3554026,0.31693652,0.31627834,1.31625315641241,1.154309353333907,1.478196959490913
1.1232293,0.35544008,0.3564171,0.31660733,0.31595868,1.31625315641241,1.154309353333907,1.478196959490913
1.1297724,0.35648963,0.3574316,0.31627762,0.31563908,1.31625315641241,1.154309353333907,1.478196959490913
1.1363156,0.3575384,0.3584461,0.31594744,0.31531945,1.31625315641241,1.154309353333907,1.478196959490913
1.1428587,0.3585865,0.35946056,0.31561688,0.31499982,1.31625315641241,1.154309353333907,1.478196959490913
1.1494019,0.35963377,0.36047506,0.31528592,0.3146802,1.31625315641241,1.154309353333907,1.478196959490913
1.1559452,0.3606803,0.36148956,0.3149546,0.31436056,1.31625315641241,1.154309353333907,1.478196959490913
1.1624883,0.36172605,0.36250407,0.314623,0.31404093,1.31625315641241,1.154309353333907,1.478196959490913
1.1690315,0.36277097,0.36351854,0.31429115,0.3137213,1.31625315641241,1.154309353333907,1.478196959490913
1.1755747,0.36381504,0.36453304,0.31395912,0.31340167,1.31625315641241,1.154309353333907,1.478196959490913
1.1821179,0.36485836,0.36554754,0.31362692,0.31308204,1.31625315641241,1.154309353333907,1.478196959490913
1.1886611,0.36590075,0.36656204,0.3132946,0.3127624,1.31625315641241,1.154309353333907,1.478196959490913
1.1952043,0.36694226,0.36757654,0.31296214,0.31244278,1.31625315641241,1.154309353333907,1.478196959490913
1.2017474,0.36798286,0.368591,0.3126297,0.31212315,1.31625315641241,1.154309353333907,1.478196959490913
1.2082906,0.36902255,0.3696055,0.31229722,0.31180352,1.31625315641241,1.154309353333907,1.478196959490913
1.2148339,0.37006128,0.37062,0.31196475,0.3114839,1.31625315641241,1.154309353333907,1.478196959490913
1.221377,0.37109908,0.3716345,0.31163245,0.31116426,1.31625315641241,1.154309353333907,1.478196959490913
1.2279202,0.37213588,0.37264898,0.3113002,0.31084466,1.31625315641241,1.154309353333907,1.478196959490913
1.2344633,0.3731717,0.37366349,0.31096813,0.31052503,1.31625315641241,1.154309353333907,1.478196959490913
1.2410065,0.3742065,0.374678,0.31063625,0.3102054,1.31625315641241,1.154309353333907,1.478196959490913
1.2475498,0.37524024,0.3756925,0.31030455,0.30988577,1.31625315641241,1.154309353333907,1.478196959490913
