k_min_1,a_t,euler_AIO,euler_linear,rep
0.99236554,1.0,0.0017182827,0.0043689013,2.0
0.994532,1.0,0.0016738772,0.004301071,2.0
0.9966985,1.0,0.0016303658,0.0042341948,2.0
0.99886495,1.0,0.0015871525,0.004167974,2.0
1.0010314,1.0,0.001544714,0.0041024685,2.0
1.0031979,1.0,0.0015025139,0.00403744,2.0
1.0053644,1.0,0.0014612675,0.003973007,2.0
1.0075308,1.0,0.0014203787,0.0039096475,2.0
1.0096973,1.0,0.001380086,0.003846705,2.0
1.0118638,1.0,0.0013400316,0.0037843585,2.0
1.0140302,1.0,0.0013011694,0.0037227273,2.0
1.0161967,1.0,0.0012626052,0.0036617517,2.0
1.0183632,1.0,0.0012244582,0.0036014318,2.0
1.0205296,1.0,0.0011867285,0.0035416484,2.0
1.0226961,1.0,0.0011498928,0.0034825802,2.0
1.0248626,1.0,0.0011137128,0.0034242272,2.0
1.027029,1.0,0.0010775328,0.0033662915,2.0
1.0291955,1.0,0.0010422468,0.0033091307,2.0
1.031362,1.0,0.0010074973,0.0032525063,2.0
1.0335286,1.0,0.00097310543,0.0031967163,2.0
1.035695,1.0,0.0009394288,0.003141284,2.0
1.0378615,1.0,0.0009059906,0.003086567,2.0
1.040028,1.0,0.00087326765,0.0030323863,2.0
1.0421944,1.0,0.00084125996,0.0029787421,2.0
1.0443609,1.0,0.0008094907,0.002925992,2.0
1.0465274,1.0,0.00077843666,0.0028735995,2.0
1.0486938,1.0,0.00074774027,0.002821803,2.0
1.0508603,1.0,0.0007174611,0.002770722,2.0
1.0530268,1.0,0.0006875992,0.0027199984,2.0
1.0551932,1.0,0.00065869093,0.0026700497,2.0
1.0573597,1.0,0.0006298423,0.002620697,2.0
1.0595262,1.0,0.0006017685,0.0025718808,2.0
1.0616927,1.0,0.00057411194,0.0025234818,2.0
1.0638591,1.0,0.0005469918,0.0024757981,2.0
1.0660256,1.0,0.00052028894,0.0024287105,2.0
1.0681921,1.0,0.0004940033,0.0023820996,2.0
1.0703585,1.0,0.00046813488,0.002335906,2.0
1.072525,1.0,0.00044292212,0.0022904873,2.0
1.0746915,1.0,0.00041812658,0.002245605,2.0
1.0768579,1.0,0.00039368868,0.00220114,2.0
1.0790244,1.0,0.00036978722,0.0021573305,2.0
1.081191,1.0,0.000346303,0.002113998,2.0
1.0833573,1.0,0.0003234148,0.0020711422,2.0
1.0855238,1.0,0.00030052662,0.0020288825,2.0
1.0876904,1.0,0.00027877092,0.0019872189,2.0
