seed_nb,nb_hidden_layers,nb_nodes,activation_function,optimizer,lr,T,stdev_TFP,elapsed_time_sec,final_loss,mean_perc_abs_error,median_perc_abs_error,max_perc_abs_error,std_perc_abs_error,dropout_rate,index_hyperparam,activation_function_name
1,1,32,0,Adam,0.001,1,0.013956643921755973,18.861494064331055,-0.00012674466415774077,0.0014917485,0.0010688007,0.007025957,0.0013230313,0.0,0,Tanh
1,1,32,0,Adam,0.001,10,0.013956643921755973,18.151440382003784,2.9568318495876156e-05,0.0009912979,0.00080782175,0.0060572624,0.0007860769,0.0,1,Tanh
1,1,32,0,Adam,0.001,100,0.013956643921755973,18.69545817375183,5.060773764853366e-05,0.0015447927,0.0015096068,0.0034220815,0.0006503671,0.0,2,Tanh
1,1,32,0,Adam,0.001,1000,0.013956643921755973,30.436835527420044,1.2305317795835435e-05,0.00032923758,0.00027543306,0.002558589,0.00027842115,0.0,3,Tanh
1,1,32,0,Adam,0.001,5000,0.013956643921755973,54.34980869293213,-7.0601968218397815e-06,0.00029238986,0.00026273727,0.001115799,0.00020636946,0.0,4,Tanh
