k_min_1,a_t,euler_AIO,euler_linear,rep
0.99236554,1.0,0.0021695495,0.0043689013,6.0
0.994532,1.0,0.0021240711,0.004301071,6.0
0.9966985,1.0,0.0020789504,0.0042341948,6.0
0.99886495,1.0,0.0020347834,0.004167974,6.0
1.0010314,1.0,0.0019908547,0.0041024685,6.0
1.0031979,1.0,0.0019472837,0.00403744,6.0
1.0053644,1.0,0.0019045472,0.003973007,6.0
1.0075308,1.0,0.0018624067,0.0039096475,6.0
1.0096973,1.0,0.0018208027,0.003846705,6.0
1.0118638,1.0,0.0017794967,0.0037843585,6.0
1.0140302,1.0,0.0017389655,0.0037227273,6.0
1.0161967,1.0,0.0016991496,0.0036617517,6.0
1.0183632,1.0,0.0016593933,0.0036014318,6.0
1.0205296,1.0,0.0016205311,0.0035416484,6.0
1.0226961,1.0,0.0015820265,0.0034825802,6.0
1.0248626,1.0,0.0015441179,0.0034242272,6.0
1.027029,1.0,0.0015068054,0.0033662915,6.0
1.0291955,1.0,0.0014699697,0.0033091307,6.0
1.031362,1.0,0.0014337897,0.0032525063,6.0
1.0335286,1.0,0.0013976693,0.0031967163,6.0
1.035695,1.0,0.0013623834,0.003141284,6.0
1.0378615,1.0,0.0013276339,0.003086567,6.0
1.040028,1.0,0.0012934208,0.0030323863,6.0
1.0421944,1.0,0.0012595057,0.0029787421,6.0
1.0443609,1.0,0.0012262464,0.002925992,6.0
1.0465274,1.0,0.0011934042,0.0028735995,6.0
1.0486938,1.0,0.0011610389,0.002821803,6.0
1.0508603,1.0,0.0011293292,0.002770722,6.0
1.0530268,1.0,0.0010977983,0.0027199984,6.0
1.0551932,1.0,0.0010673404,0.0026700497,6.0
1.0573597,1.0,0.0010370016,0.002620697,6.0
1.0595262,1.0,0.0010070205,0.0025718808,6.0
1.0616927,1.0,0.0009775162,0.0025234818,6.0
1.0638591,1.0,0.0009486079,0.0024757981,6.0
1.0660256,1.0,0.0009204149,0.0024287105,6.0
1.0681921,1.0,0.0008921027,0.0023820996,6.0
1.0703585,1.0,0.0008648038,0.002335906,6.0
1.072525,1.0,0.00083744526,0.0022904873,6.0
1.0746915,1.0,0.0008112788,0.002245605,6.0
1.0768579,1.0,0.0007849932,0.00220114,6.0
1.0790244,1.0,0.00075924397,0.0021573305,6.0
1.081191,1.0,0.0007341504,0.002113998,6.0
1.0833573,1.0,0.00070905685,0.0020711422,6.0
1.0855238,1.0,0.00068473816,0.0020288825,6.0
1.0876904,1.0,0.0006608367,0.0019872189,6.0
1.0898567,1.0,0.00063723326,0.0019459724,6.0
1.0920233,1.0,0.00061416626,0.0019052625,6.0
1.0941898,1.0,0.0005916357,0.0018651485,6.0
1.0963562,1.0,0.00056928396,0.0018254519,6.0
1.0985227,1.0,0.00054746866,0.0017864704,6.0
1.1006892,1.0,0.000526011,0.001747787,6.0
1.1028557,1.0,0.00050508976,0.00170964,6.0
1.1050221,1.0,0.00048446655,0.0016719699,6.0
1.1071886,1.0,0.0004645586,0.0016348958,6.0
1.1093551,1.0,0.00044459105,0.0015981793,6.0
1.1115215,1.0,0.00042527914,0.0015622973,6.0
1.113688,1.0,0.00040596724,0.0015266538,6.0
1.1158545,1.0,0.0003877282,0.0014912486,6.0
1.1180209,1.0,0.0003694296,0.0014568567,6.0
1.1201874,1.0,0.0003515482,0.0014226437,6.0
1.1223539,1.0,0.00033426285,0.0013889074,6.0
1.1245203,1.0,0.0003169775,0.0013557076,6.0
1.1266868,1.0,0.0003002882,0.0013230443,6.0
1.1288533,1.0,0.00028413534,0.001290679,6.0
1.1310198,1.0,0.00026792288,0.0012589097,6.0
1.1331862,1.0,0.00025242567,0.0012275577,6.0
1.1353527,1.0,0.00023728609,0.001196742,6.0
1.1375192,1.0,0.00022238493,0.0011662841,6.0
