seed_nb,mean_euler_error,median_euler_error,max_euler_error,stdev_euler_error,iteration_index,loss
1,0.03640833,0.03609222,0.05428028,0.0056408816,0,0.0015056174015626311
1,0.0023235173,0.0020301342,0.023004651,0.0020029747,1000,-0.0002116540417773649
1,0.0024517989,0.0026195645,0.014000058,0.0014722839,2000,0.0008306543459184468
1,0.0026284389,0.002666235,0.013801694,0.0015933553,3000,-1.1729761354217771e-05
1,0.0014917485,0.0010688007,0.007025957,0.0013230313,4000,-0.00017644878244027495
1,0.036249112,0.03562069,0.05304098,0.0058631427,0,0.0014023113762959838
1,0.0009998367,0.00066161156,0.009065032,0.0009843187,1000,-0.00011956833623116836
1,0.0010256256,0.00093889236,0.006705165,0.00072129176,2000,3.514721129249665e-06
1,0.0018991799,0.0018544197,0.0053679943,0.00093656726,3000,2.666626824066043e-05
1,0.0009912979,0.00080782175,0.0060572624,0.0007860769,4000,-0.00011505268048495054
1,0.035910666,0.035536587,0.053152204,0.0057245907,0,0.0013710865750908852
1,0.0011604025,0.0010664463,0.0074255466,0.0007205879,1000,3.448538336670026e-05
1,0.0007219134,0.00055393577,0.0045892596,0.0006448641,2000,-1.636363049328793e-05
1,0.0007306912,0.00074470043,0.0057469606,0.000521543,3000,3.2228388135990826e-06
1,0.0015447927,0.0015096068,0.0034220815,0.0006503671,4000,-1.3690661035070661e-05
1,0.035581373,0.035319388,0.05290532,0.0056370622,0,0.0014577772235497832
1,0.0005142906,0.00038722157,0.0033615828,0.00045107005,1000,-1.8672942587727448e-06
1,0.0005196646,0.00046992302,0.0023872852,0.00037640333,2000,2.5271228309975413e-07
1,0.0006317635,0.0005451441,0.008076549,0.0004786854,3000,-5.395824700826779e-06
1,0.00032923758,0.00027543306,0.002558589,0.00027842115,4000,2.1735231712227687e-06
1,0.035855673,0.035307348,0.052621365,0.005314769,0,0.0013849486131221056
1,0.00037012243,0.00028806925,0.0050114393,0.00035212594,1000,1.9070372445639805e-06
1,0.0004570502,0.0004285574,0.0031040907,0.00031098418,2000,-6.083523658162449e-07
1,0.00035171158,0.00029316545,0.004731655,0.00031994976,3000,5.656212351823342e-07
1,0.00029238986,0.00026273727,0.001115799,0.00020636946,4000,2.2889596493769204e-06
