k_min_1,a_t,euler_AIO,euler_linear,rep
0.99236554,1.0,0.0028009415,0.0043689013,7.0
0.994532,1.0,0.002755165,0.004301071,7.0
0.9966985,1.0,0.0027102232,0.0042341948,7.0
0.99886495,1.0,0.0026658773,0.004167974,7.0
1.0010314,1.0,0.00262177,0.0041024685,7.0
1.0031979,1.0,0.0025783777,0.00403744,7.0
1.0053644,1.0,0.00253582,0.003973007,7.0
1.0075308,1.0,0.0024935603,0.0039096475,7.0
1.0096973,1.0,0.0024520755,0.003846705,7.0
1.0118638,1.0,0.0024107695,0.0037843585,7.0
1.0140302,1.0,0.0023703575,0.0037227273,7.0
1.0161967,1.0,0.0023302436,0.0036617517,7.0
1.0183632,1.0,0.0022904873,0.0036014318,7.0
1.0205296,1.0,0.0022518039,0.0035416484,7.0
1.0226961,1.0,0.0022132397,0.0034825802,7.0
1.0248626,1.0,0.002175212,0.0034242272,7.0
1.027029,1.0,0.0021378398,0.0033662915,7.0
1.0291955,1.0,0.002101183,0.0033091307,7.0
1.031362,1.0,0.002064824,0.0032525063,7.0
1.0335286,1.0,0.0020288825,0.0031967163,7.0
1.035695,1.0,0.0019933581,0.003141284,7.0
1.0378615,1.0,0.0019587278,0.003086567,7.0
1.040028,1.0,0.0019243956,0.0030323863,7.0
1.0421944,1.0,0.0018905401,0.0029787421,7.0
1.0443609,1.0,0.0018571615,0.002925992,7.0
1.0465274,1.0,0.0018246174,0.0028735995,7.0
1.0486938,1.0,0.0017921925,0.002821803,7.0
1.0508603,1.0,0.0017603636,0.002770722,7.0
1.0530268,1.0,0.0017288923,0.0027199984,7.0
1.0551932,1.0,0.0016982555,0.0026700497,7.0
1.0573597,1.0,0.0016679168,0.002620697,7.0
1.0595262,1.0,0.0016377568,0.0025718808,7.0
1.0616927,1.0,0.0016084313,0.0025234818,7.0
1.0638591,1.0,0.0015795231,0.0024757981,7.0
1.0660256,1.0,0.0015510321,0.0024287105,7.0
1.0681921,1.0,0.0015228391,0.0023820996,7.0
1.0703585,1.0,0.0014955997,0.002335906,7.0
1.072525,1.0,0.0014683008,0.0022904873,7.0
1.0746915,1.0,0.0014417768,0.002245605,7.0
1.0768579,1.0,0.0014153719,0.00220114,7.0
1.0790244,1.0,0.0013897419,0.0021573305,7.0
1.081191,1.0,0.0013644099,0.002113998,7.0
1.0833573,1.0,0.0013393164,0.0020711422,7.0
1.0855238,1.0,0.0013148189,0.0020288825,7.0
1.0876904,1.0,0.0012909174,0.0019872189,7.0
1.0898567,1.0,0.0012674928,0.0019459724,7.0
1.0920233,1.0,0.0012441874,0.0019052625,7.0
1.0941898,1.0,0.0012213588,0.0018651485,7.0
1.0963562,1.0,0.0011992455,0.0018254519,7.0
1.0985227,1.0,0.0011773705,0.0017864704,7.0
1.1006892,1.0,0.0011559725,0.001747787,7.0
1.1028557,1.0,0.0011347532,0.00170964,7.0
1.1050221,1.0,0.0011141896,0.0016719699,7.0
1.1071886,1.0,0.0010938644,0.0016348958,7.0
1.1093551,1.0,0.0010737777,0.0015981793,7.0
1.1115215,1.0,0.0010544658,0.0015622973,7.0
1.113688,1.0,0.0010350943,0.0015266538,7.0
1.1158545,1.0,0.0010167956,0.0014912486,7.0
1.1180209,1.0,0.000998199,0.0014568567,7.0
1.1201874,1.0,0.0009801388,0.0014226437,7.0
1.1223539,1.0,0.000962615,0.0013889074,7.0
1.1245203,1.0,0.00094538927,0.0013557076,7.0
1.1266868,1.0,0.00092864037,0.0013230443,7.0
1.1288533,1.0,0.0009120703,0.001290679,7.0
1.1310198,1.0,0.00089615583,0.0012589097,7.0
1.1331862,1.0,0.000880301,0.0012275577,7.0
1.1353527,1.0,0.0008648038,0.001196742,7.0
1.1375192,1.0,0.000849843,0.0011662841,7.0
1.1396856,1.0,0.00083494186,0.0011364222,7.0
1.1418521,1.0,0.00082069635,0.0011069179,7.0
1.1440187,1.0,0.00080674887,0.0010778904,7.0
1.146185,1.0,0.000793159,0.0010492802,7.0
1.1483516,1.0,0.00077974796,0.0010210276,7.0
1.1505181,1.0,0.00076675415,0.0009934306,7.0
1.1526845,1.0,0.00075399876,0.0009661913,7.0
1.154851,1.0,0.0007415414,0.0009394288,7.0
1.1570175,1.0,0.00072950125,0.00091326237,7.0
1.1591839,1.0,0.00071805716,0.0008870959,7.0
1.1613504,1.0,0.00070643425,0.00086164474,7.0
1.1635169,1.0,0.0006953478,0.0008366108,7.0
1.1656833,1.0,0.00068438053,0.00081187487,7.0
1.1678498,1.0,0.0006740093,0.0007878542,7.0
1.1700163,1.0,0.0006638169,0.0007637739,7.0
1.1721828,1.0,0.00065392256,0.0007404685,7.0
1.1743492,1.0,0.0006440282,0.0007175803,7.0
1.1765157,1.0,0.00063461065,0.00069499016,7.0
1.1786822,1.0,0.0006259084,0.00067281723,7.0
1.1808486,1.0,0.0006169081,0.00065129995,7.0
1.1830151,1.0,0.000608325,0.0006298423,7.0
1.1851816,1.0,0.0006002188,0.00060892105,7.0
1.187348,1.0,0.00059211254,0.00058853626,7.0
1.1895145,1.0,0.0005842447,0.0005684495,7.0
1.191681,1.0,0.00057685375,0.00054877996,7.0
1.1938474,1.0,0.0005696416,0.00052934885,7.0
1.1960139,1.0,0.00056272745,0.0005104542,7.0
1.1981804,1.0,0.00055605173,0.00049197674,7.0
1.200347,1.0,0.000549376,0.00047373772,7.0
1.2025133,1.0,0.00054353476,0.00045603514,7.0
1.2046798,1.0,0.0005373359,0.00043863058,7.0
1.2068464,1.0,0.0005316138,0.00042158365,7.0
1.2090127,1.0,0.000526011,0.00040513277,7.0
1.2111793,1.0,0.0005207658,0.0003888011,7.0
1.2133458,1.0,0.0005156994,0.00037300587,7.0
1.2155122,1.0,0.0005106926,0.00035762787,7.0
1.2176787,1.0,0.00050628185,0.0003424883,7.0
1.2198452,1.0,0.0005018711,0.00032782555,7.0
1.2220116,1.0,0.00049746037,0.00031340122,7.0
1.2241781,1.0,0.00049364567,0.00029945374,7.0
1.2263446,1.0,0.00048971176,0.00028592348,7.0
1.228511,1.0,0.00048613548,0.00027245283,7.0
1.2306775,1.0,0.00048279762,0.00025969744,7.0
1.232844,1.0,0.00047945976,0.00024718046,7.0
1.2350104,1.0,0.00047647953,0.0002349019,7.0
1.2371769,1.0,0.0004734993,0.00022298098,7.0
1.2393434,1.0,0.0004711151,0.00021153688,7.0
1.2415099,1.0,0.00046861172,0.00020033121,7.0
1.2436763,1.0,0.00046622753,0.00018972158,7.0
1.2458428,1.0,0.00046420097,0.00017923117,7.0
1.2480093,1.0,0.00046217442,0.00016927719,7.0
1.2501757,1.0,0.00046026707,0.00015950203,7.0
1.2523422,1.0,0.00045859814,0.0001500845,7.0
1.2545087,1.0,0.00045716763,0.00014102459,7.0
1.2566751,1.0,0.00045603514,0.00013232231,7.0
1.2588416,1.0,0.00045472383,0.00012385845,7.0
1.2610081,1.0,0.00045377016,0.00011575222,7.0
1.2631745,1.0,0.0004529357,0.000108003616,7.0
1.265341,1.0,0.00045210123,0.00010049343,7.0
1.2675076,1.0,0.00045150518,9.357929e-05,7.0
1.2696741,1.0,0.00045126677,8.666515e-05,7.0
1.2718405,1.0,0.00045090914,8.022785e-05,7.0
1.274007,1.0,0.0004505515,7.426739e-05,7.0
1.2761735,1.0,0.0004505515,6.830692e-05,7.0
1.2783399,1.0,0.0004505515,6.2823296e-05,7.0
1.2805064,1.0,0.00045078993,5.7697296e-05,7.0
1.2826729,1.0,0.00045090914,5.2928925e-05,7.0
1.2848393,1.0,0.0004516244,4.839897e-05,7.0
1.2870058,1.0,0.00045198202,4.4107437e-05,7.0
1.2891723,1.0,0.00045257807,4.017353e-05,7.0
1.2913387,1.0,0.00045341253,3.671646e-05,7.0
1.2935052,1.0,0.0004541278,3.33786e-05,7.0
1.2956717,1.0,0.00045508146,3.027916e-05,7.0
1.2978381,1.0,0.00045603514,2.7537346e-05,7.0
1.3000046,1.0,0.00045704842,2.5391579e-05,7.0
1.3021711,1.0,0.00045835972,2.3126602e-05,7.0
1.3043375,1.0,0.0004595518,2.1338463e-05,7.0
1.306504,1.0,0.0004608631,1.9907951e-05,7.0
1.3086705,1.0,0.00046241283,1.8715858e-05,7.0
1.310837,1.0,0.00046384335,1.7642975e-05,7.0
1.3130034,1.0,0.00046563148,1.7046928e-05,7.0
1.3151699,1.0,0.0004671812,1.680851e-05,7.0
1.3173364,1.0,0.00046885014,1.680851e-05,7.0
1.3195028,1.0,0.00047063828,1.692772e-05,7.0
1.3216693,1.0,0.00047254562,1.7404556e-05,7.0
1.3238358,1.0,0.00047445297,1.835823e-05,7.0
1.3260022,1.0,0.00047659874,1.9431114e-05,7.0
1.3281687,1.0,0.00047838688,2.0623207e-05,7.0
1.3303353,1.0,0.00048041344,2.2411346e-05,7.0
1.3325016,1.0,0.00048291683,2.4318695e-05,7.0
1.3346682,1.0,0.0004849434,2.6464462e-05,7.0
1.3368347,1.0,0.00048708916,2.8967857e-05,7.0
1.339001,1.0,0.00048959255,3.159046e-05,7.0
1.3411676,1.0,0.0004917383,3.4689903e-05,7.0
1.3433341,1.0,0.0004941225,3.8027763e-05,7.0
1.3455005,1.0,0.0004966259,4.1604042e-05,7.0
1.347667,1.0,0.0004988909,4.541874e-05,7.0
1.3498335,1.0,0.0005015135,4.9471855e-05,7.0
1.352,1.0,0.0005041361,5.376339e-05,7.0
1.3541664,1.0,0.0005065203,5.8293343e-05,7.0
1.3563329,1.0,0.00050902367,6.330013e-05,7.0
1.3584994,1.0,0.00051140785,6.842613e-05,7.0
1.3606658,1.0,0.0005142689,7.390976e-05,7.0
1.3628323,1.0,0.0005168915,7.939339e-05,7.0
1.3649988,1.0,0.00051933527,8.535385e-05,7.0
1.3671652,1.0,0.0005219579,9.1433525e-05,7.0
1.3693317,1.0,0.0005245805,9.775162e-05,7.0
1.3714982,1.0,0.00052696466,0.00010454655,7.0
1.3736646,1.0,0.0005297065,0.000111460686,7.0
1.3758311,1.0,0.0005322099,0.00011861324,7.0
1.3779976,1.0,0.0005349517,0.00012588501,7.0
1.3801641,1.0,0.0005374551,0.0001335144,7.0
1.3823305,1.0,0.0005401969,0.00014150143,7.0
1.384497,1.0,0.0005428195,0.00014948845,7.0
1.3866636,1.0,0.0005452037,0.00015795231,7.0
1.38883,1.0,0.0005479455,0.00016653538,7.0
1.3909965,1.0,0.0005504489,0.00017541647,7.0
1.393163,1.0,0.0005528331,0.00018447638,7.0
1.3953294,1.0,0.0005554557,0.00019389391,7.0
1.3974959,1.0,0.0005579591,0.00020331144,7.0
1.3996624,1.0,0.0005605817,0.0002130866,7.0
1.4018288,1.0,0.00056284666,0.0002232194,7.0
1.4039953,1.0,0.00056523085,0.0002334714,7.0
1.4061618,1.0,0.00056761503,0.00024396181,7.0
1.4083282,1.0,0.0005699992,0.00025469065,7.0
1.4104947,1.0,0.0005722642,0.0002655387,7.0
1.4126612,1.0,0.0005745888,0.00027686357,7.0
1.4148276,1.0,0.00057673454,0.00028818846,7.0
1.4169941,1.0,0.0005788803,0.00029981136,7.0
1.4191606,1.0,0.0005811453,0.00031161308,7.0
1.4213271,1.0,0.00058317184,0.00032365322,7.0
1.4234935,1.0,0.0005851984,0.00033593178,7.0
1.42566,1.0,0.00058698654,0.00034856796,7.0
1.4278265,1.0,0.0005888939,0.00036108494,7.0
1.4299929,1.0,0.00059115887,0.00037419796,7.0
1.4321594,1.0,0.000592947,0.00038725138,7.0
1.4343259,1.0,0.00059461594,0.0004004836,7.0
1.4364923,1.0,0.0005965233,0.0004143119,7.0
1.4386588,1.0,0.0005981922,0.00042802095,7.0
1.4408253,1.0,0.00059974194,0.00044208765,7.0
1.4429917,1.0,0.00060117245,0.00045615435,7.0
1.4451582,1.0,0.0006029606,0.00047063828,7.0
